ticker,name,exchange,sector,industry,country,currency,source
EMKEL.IS,EMEK ELEKTRIK,BIST,,,TR,TRY,borsa_istanbul
ENDAE.IS,ENDA ENERJI HOLDING,BIST,,,TR,TRY,borsa_istanbul
ENERY.IS,ENERYA ENERJI,BIST,,,TR,TRY,borsa_istanbul
ENJSA.IS,ENERJISA ENERJI,BIST,,,TR,TRY,borsa_istanbul
ENKAI.IS,ENKA INSAAT,BIST,,,TR,TRY,borsa_istanbul
ENSRI.IS,ENSARI SINAI YATIRIMLAR,BIST,,,TR,TRY,borsa_istanbul
ENTRA.IS,IC ENTERRA YEN. ENERJI,BIST,,,TR,TRY,borsa_istanbul
EPLAS.IS,EGEPLAST,BIST,,,TR,TRY,borsa_istanbul
ERBOS.IS,ERBOSAN,BIST,,,TR,TRY,borsa_istanbul
ERCB.IS,ERCIYAS CELIK BORU,BIST,,,TR,TRY,borsa_istanbul
EREGL.IS,EREGLI DEMIR CELIK,BIST,,,TR,TRY,borsa_istanbul
ESCAR.IS,ESCAR FILO,BIST,,,TR,TRY,borsa_istanbul
ESCOM.IS,ESCORT TEKNOLOJI,BIST,,,TR,TRY,borsa_istanbul
ESEN.IS,ESENBOGA ELEKTRIK,BIST,,,TR,TRY,borsa_istanbul
ETILR.IS,ETILER GIDA,BIST,,,TR,TRY,borsa_istanbul
EUPWR.IS,EUROPOWER ENERJI,BIST,,,TR,TRY,borsa_istanbul
EUREN.IS,EUROPEN ENDUSTRI,BIST,,,TR,TRY,borsa_istanbul
EYGYO.IS,EYG GMYO,BIST,,,TR,TRY,borsa_istanbul
FADE.IS,FADE GIDA,BIST,,,TR,TRY,borsa_istanbul
FENER.IS,FENERBAHCE FUTBOL,BIST,,,TR,TRY,borsa_istanbul
FMIZP.IS,F-M IZMIT PISTON,BIST,,,TR,TRY,borsa_istanbul
FONET.IS,FONET BILGI TEKNOLOJILERI,BIST,,,TR,TRY,borsa_istanbul
FORMT.IS,FORMET METAL VE CAM,BIST,,,TR,TRY,borsa_istanbul
FORTE.IS,FORTE BILGI ILETISIM,BIST,,,TR,TRY,borsa_istanbul
FRIGO.IS,FRIGO PAK GIDA,BIST,,,TR,TRY,borsa_istanbul
FROTO.IS,FORD OTOSAN,BIST,,,TR,TRY,borsa_istanbul
FZLGY.IS,FUZUL GMYO,BIST,,,TR,TRY,borsa_istanbul
GARAN.IS,GARANTI BANKASI,BIST,,,TR,TRY,borsa_istanbul
GARFA.IS,GARANTI FAKTORING,BIST,,,TR,TRY,borsa_istanbul
GEDIK.IS,GEDIK Y. MEN. DEG.,BIST,,,TR,TRY,borsa_istanbul
GEDZA.IS,GEDIZ AMBALAJ,BIST,,,TR,TRY,borsa_istanbul
GENIL.IS,GEN ILAC,BIST,,,TR,TRY,borsa_istanbul
GENTS.IS,GENTAS,BIST,,,TR,TRY,borsa_istanbul
GEREL.IS,GERSAN ELEKTRIK,BIST,,,TR,TRY,borsa_istanbul
GESAN.IS,GIRISIM ELEKTRIK SANAYI,BIST,,,TR,TRY,borsa_istanbul
GIPTA.IS,GIPTA OFIS KIRTASIYE,BIST,,,TR,TRY,borsa_istanbul
GLCVY.IS,GELECEK VARLIK YONETIMI,BIST,,,TR,TRY,borsa_istanbul
GLRMK.IS,GULERMAK AGIR SANAYI,BIST,,,TR,TRY,borsa_istanbul
GLRYH.IS,GULER YAT. HOLDING,BIST,,,TR,TRY,borsa_istanbul
GLYHO.IS,GLOBAL YAT. HOLDING,BIST,,,TR,TRY,borsa_istanbul
GMTAS.IS,GIMAT MAGAZACILIK,BIST,,,TR,TRY,borsa_istanbul
GOKNR.IS,GOKNUR GIDA,BIST,,,TR,TRY,borsa_istanbul
GOLTS.IS,GOLTAS CIMENTO,BIST,,,TR,TRY,borsa_istanbul
GOODY.IS,GOOD-YEAR,BIST,,,TR,TRY,borsa_istanbul
GOZDE.IS,GOZDE GIRISIM,BIST,,,TR,TRY,borsa_istanbul
GRSEL.IS,GUR-SEL TURIZM TASIMACILIK,BIST,,,TR,TRY,borsa_istanbul
GRTHO.IS,GRAINTURK HOLDING,BIST,,,TR,TRY,borsa_istanbul
GSDHO.IS,GSD HOLDING,BIST,,,TR,TRY,borsa_istanbul
GSRAY.IS,GALATASARAY SPORTIF,BIST,,,TR,TRY,borsa_istanbul
GUBRF.IS,GUBRE FABRIK.,BIST,,,TR,TRY,borsa_istanbul
GUNDG.IS,GUNDOGDU GIDA,BIST,,,TR,TRY,borsa_istanbul
GWIND.IS,GALATA WIND ENERJI,BIST,,,TR,TRY,borsa_istanbul
GZNMI.IS,GEZINOMI SEYAHAT,BIST,,,TR,TRY,borsa_istanbul
HALKB.IS,T. HALK BANKASI,BIST,,,TR,TRY,borsa_istanbul
HATEK.IS,HATAY TEKSTIL,BIST,,,TR,TRY,borsa_istanbul
HATSN.IS,HATSAN GEMI,BIST,,,TR,TRY,borsa_istanbul
HDFGS.IS,HEDEF GIRISIM,BIST,,,TR,TRY,borsa_istanbul
HEDEF.IS,HEDEF HOLDING,BIST,,,TR,TRY,borsa_istanbul
HEKTS.IS,HEKTAS,BIST,,,TR,TRY,borsa_istanbul
HKTM.IS,HIDROPAR HAREKET KONTROL,BIST,,,TR,TRY,borsa_istanbul
HLGYO.IS,HALK GMYO,BIST,,,TR,TRY,borsa_istanbul
HOROZ.IS,HOROZ LOJISTIK,BIST,,,TR,TRY,borsa_istanbul
HRKET.IS,HAREKET PROJE TASIMACILIGI,BIST,,,TR,TRY,borsa_istanbul
HTTBT.IS,HITIT BILGISAYAR,BIST,,,TR,TRY,borsa_istanbul
HUNER.IS,HUN YENILENEBILIR ENERJI,BIST,,,TR,TRY,borsa_istanbul
HURGZ.IS,HURRIYET GZT.,BIST,,,TR,TRY,borsa_istanbul
ICBCT.IS,ICBC TURKEY BANK,BIST,,,TR,TRY,borsa_istanbul
ICUGS.IS,ICU GIRISIM,BIST,,,TR,TRY,borsa_istanbul
IEYHO.IS,ISIKLAR ENERJI YAPI HOL.,BIST,,,TR,TRY,borsa_istanbul
IHAAS.IS,IHLAS HABER AJANSI,BIST,,,TR,TRY,borsa_istanbul
IHGZT.IS,IHLAS GAZETECILIK,BIST,,,TR,TRY,borsa_istanbul
IHLAS.IS,IHLAS HOLDING,BIST,,,TR,TRY,borsa_istanbul
IHLGM.IS,IHLAS GAYRIMENKUL,BIST,,,TR,TRY,borsa_istanbul
IHYAY.IS,IHLAS YAYIN HOLDING,BIST,,,TR,TRY,borsa_istanbul
IMASM.IS,IMAS MAKINA,BIST,,,TR,TRY,borsa_istanbul
INDES.IS,INDEKS BILGISAYAR,BIST,,,TR,TRY,borsa_istanbul
INFO.IS,INFO YATIRIM,BIST,,,TR,TRY,borsa_istanbul
